zipcode,prop_crime_rt,crime_grade
98103,D,65
98038,A,95
98052,C-,72
98115,C,75
98117,C,75
98042,A,95
98034,B-,82
98118,D+,68
98023,A,95
98006,C,75
98133,C,75
98059,A-,92
98058,B+,88
98074,A+,98
98033,C+,78
98155,C-,72
98027,A-,92
98053,A+,98
98125,C-,72
98056,B-,82
98075,A+,98
98001,B+,88
98092,A-,92
98126,D+,68
98144,D-,62
98116,C,75
98106,D,65
98029,B+,88
98199,C+,78
98004,D-,62
98065,A+,98
98028,A+,98
98146,D+,68
98008,B-,82
98198,C,75
98122,D-,62
98003,D+,68
98031,B,85
98040,B+,88
98168,D-,62
98072,C+,78
98112,C,75
98055,B-,82
98136,B-,82
98107,D,65
98178,C-,72
98166,C,75
98030,D,65
98177,A,95
98105,D,65
98022,B,85
98045,C,75
98002,D+,68
98077,A+,98
98019,A+,98
98011,A-,92
98108,D-,62
98119,D+,68
98005,D,65
98007,B,85
98188,F,55
98032,D,65
98070,A-,92
98014,A+,98
98102,D,65
98109,D-,62
98010,A+,98
98024,A+,98
98148,D,65
98039,B-,82
